adm2_tr,adm2_en,adm1_tr,adm1_en,adm1_code,adm0_tr,adm0_en,pcode
YEDİSU,YEDISU,BİNGÖL,BINGOL,TUR012,TÜRKİYE,TURKEY,TUR012008
ADİLCEVAZ,ADILCEVAZ,BİTLİS,BITLIS,TUR013,TÜRKİYE,TURKEY,TUR013001
AHLAT,AHLAT,BİTLİS,BITLIS,TUR013,TÜRKİYE,TURKEY,TUR013002
BİTLİS,BITLIS,BİTLİS,BITLIS,TUR013,TÜRKİYE,TURKEY,TUR013003
GÜROYMAK,GUROYMAK,BİTLİS,BITLIS,TUR013,TÜRKİYE,TURKEY,TUR013004
HİZAN,HIZAN,BİTLİS,BITLIS,TUR013,TÜRKİYE,TURKEY,TUR013005
MUTKİ,MUTKI,BİTLİS,BITLIS,TUR013,TÜRKİYE,TURKEY,TUR013006
TATVAN,TATVAN,BİTLİS,BITLIS,TUR013,TÜRKİYE,TURKEY,TUR013007
BOLU,BOLU,BOLU,BOLU,TUR014,TÜRKİYE,TURKEY,TUR014001
DÖRTDİVAN,DORTDIVAN,BOLU,BOLU,TUR014,TÜRKİYE,TURKEY,TUR014002
GEREDE,GEREDE,BOLU,BOLU,TUR014,TÜRKİYE,TURKEY,TUR014003
GÖYNÜK,GOYNUK,BOLU,BOLU,TUR014,TÜRKİYE,TURKEY,TUR014004
KIBRISCIK,KIBRISCIK,BOLU,BOLU,TUR014,TÜRKİYE,TURKEY,TUR014005
MENGEN,MENGEN,BOLU,BOLU,TUR014,TÜRKİYE,TURKEY,TUR014006
MUDURNU,MUDURNU,BOLU,BOLU,TUR014,TÜRKİYE,TURKEY,TUR014007
SEBEN,SEBEN,BOLU,BOLU,TUR014,TÜRKİYE,TURKEY,TUR014008
YENİÇAĞA,YENICAGA,BOLU,BOLU,TUR014,TÜRKİYE,TURKEY,TUR014009
AĞLASUN,AGLASUN,BURDUR,BURDUR,TUR015,TÜRKİYE,TURKEY,TUR015001
ALTINYAYLA,ALTINYAYLA,BURDUR,BURDUR,TUR015,TÜRKİYE,TURKEY,TUR015002
BUCAK,BUCAK,BURDUR,BURDUR,TUR015,TÜRKİYE,TURKEY,TUR015003
BURDUR,BURDUR,BURDUR,BURDUR,TUR015,TÜRKİYE,TURKEY,TUR015004
ÇAVDIR,CAVDIR,BURDUR,BURDUR,TUR015,TÜRKİYE,TURKEY,TUR015005
ÇELTİKÇİ,CELTIKCI,BURDUR,BURDUR,TUR015,TÜRKİYE,TURKEY,TUR015006
GÖLHİSAR,GOLHISAR,BURDUR,BURDUR,TUR015,TÜRKİYE,TURKEY,TUR015007
KARAMANLI,KARAMANLI,BURDUR,BURDUR,TUR015,TÜRKİYE,TURKEY,TUR015008
KEMER,KEMER,BURDUR,BURDUR,TUR015,TÜRKİYE,TURKEY,TUR015009
TEFENNİ,TEFENNI,BURDUR,BURDUR,TUR015,TÜRKİYE,TURKEY,TUR015010
YEŞİLOVA,YESILOVA,BURDUR,BURDUR,TUR015,TÜRKİYE,TURKEY,TUR015011
BÜYÜKORHAN,BUYUKORHAN,BURSA,BURSA,TUR016,TÜRKİYE,TURKEY,TUR016001
GEMLİK,GEMLIK,BURSA,BURSA,TUR016,TÜRKİYE,TURKEY,TUR016002
GÜRSU,GURSU,BURSA,BURSA,TUR016,TÜRKİYE,TURKEY,TUR016003
HARMANCIK,HARMANCIK,BURSA,BURSA,TUR016,TÜRKİYE,TURKEY,TUR016004
İNEGÖL,INEGOL,BURSA,BURSA,TUR016,TÜRKİYE,TURKEY,TUR016005
İZNİK,IZNIK,BURSA,BURSA,TUR016,TÜRKİYE,TURKEY,TUR016006
KARACABEY,KARACABEY,BURSA,BURSA,TUR016,TÜRKİYE,TURKEY,TUR016007
KELES,KELES,BURSA,BURSA,TUR016,TÜRKİYE,TURKEY,TUR016008
KESTEL,KESTEL,BURSA,BURSA,TUR016,TÜRKİYE,TURKEY,TUR016009
MUDANYA,MUDANYA,BURSA,BURSA,TUR016,TÜRKİYE,TURKEY,TUR016010
MUSTAFAKEMALPAŞA,MUSTAFAKEMALPASA,BURSA,BURSA,TUR016,TÜRKİYE,TURKEY,TUR016011
NİLÜFER,NILUFER,BURSA,BURSA,TUR016,TÜRKİYE,TURKEY,TUR016012
ORHANELİ,ORHANELI,BURSA,BURSA,TUR016,TÜRKİYE,TURKEY,TUR016013
ORHANGAZİ,ORHANGAZI,BURSA,BURSA,TUR016,TÜRKİYE,TURKEY,TUR016014
OSMANGAZİ,OSMANGAZI,BURSA,BURSA,TUR016,TÜRKİYE,TURKEY,TUR016015
YENİŞEHİR,YENISEHIR,BURSA,BURSA,TUR016,TÜRKİYE,TURKEY,TUR016016
YILDIRIM,YILDIRIM,BURSA,BURSA,TUR016,TÜRKİYE,TURKEY,TUR016017
AYVACIK,AYVACIK,ÇANAKKALE,CANAKKALE,TUR017,TÜRKİYE,TURKEY,TUR017001
BAYRAMİÇ,BAYRAMIC,ÇANAKKALE,CANAKKALE,TUR017,TÜRKİYE,TURKEY,TUR017002
BİGA,BIGA,ÇANAKKALE,CANAKKALE,TUR017,TÜRKİYE,TURKEY,TUR017003
BOZCAADA,BOZCAADA,ÇANAKKALE,CANAKKALE,TUR017,TÜRKİYE,TURKEY,TUR017004
ÇAN,CAN,ÇANAKKALE,CANAKKALE,TUR017,TÜRKİYE,TURKEY,TUR017005
ÇANAKKALE,CANAKKALE,ÇANAKKALE,CANAKKALE,TUR017,TÜRKİYE,TURKEY,TUR017006
ECEABAT,ECEABAT,ÇANAKKALE,CANAKKALE,TUR017,TÜRKİYE,TURKEY,TUR017007
EZİNE,EZINE,ÇANAKKALE,CANAKKALE,TUR017,TÜRKİYE,TURKEY,TUR017008
GELİBOLU,GELIBOLU,ÇANAKKALE,CANAKKALE,TUR017,TÜRKİYE,TURKEY,TUR017009
GÖKÇEADA,GOKCEADA,ÇANAKKALE,CANAKKALE,TUR017,TÜRKİYE,TURKEY,TUR017010
LAPSEKİ,LAPSEKI,ÇANAKKALE,CANAKKALE,TUR017,TÜRKİYE,TURKEY,TUR017011
YENİCE,YENICE,ÇANAKKALE,CANAKKALE,TUR017,TÜRKİYE,TURKEY,TUR017012
ATKARACALAR,ATKARACALAR,ÇANKIRI,CANKIRI,TUR018,TÜRKİYE,TURKEY,TUR018001
BAYRAMÖREN,BAYRAMOREN,ÇANKIRI,CANKIRI,TUR018,TÜRKİYE,TURKEY,TUR018002
ÇANKIRI,CANKIRI,ÇANKIRI,CANKIRI,TUR018,TÜRKİYE,TURKEY,TUR018003
