id,name_1,name_alt,type_1,type_alt,code_gadm,code_govt
FRA001007001007002,Cran-Gevrier,,Commune,Commune simple,FRA.1.7.1.7.2_1,
FRA001007001007003,Duingt,,Commune,Commune simple,FRA.1.7.1.7.3_1,
FRA001007001007004,Entrevernes,,Commune,Commune simple,FRA.1.7.1.7.4_1,
FRA001007001007005,La Chapelle-Saint-Maurice,,Commune,Commune simple,FRA.1.7.1.7.5_1,
FRA001007001007006,Leschaux,,Commune,Commune simple,FRA.1.7.1.7.6_1,
FRA001007001007007,Montagny-les-Lanches,,Commune,Commune simple,FRA.1.7.1.7.7_1,
FRA001007001007008,Quintal,,Commune,Commune simple,FRA.1.7.1.7.8_1,
FRA001007001007009,Saint-Eustache,,Commune,Commune simple,FRA.1.7.1.7.9_1,
FRA001007001007010,Saint-Jorioz,,Commune,Commune simple,FRA.1.7.1.7.10_1,
FRA001007001007011,Sévrier,,Commune,Commune simple,FRA.1.7.1.7.11_1,
FRA001007001007012,Seynod,,Commune,Chef-lieu canton,FRA.1.7.1.7.12_1,
FRA001007001008001,La Balme-de-Thuy,,Commune,Commune simple,FRA.1.7.1.8.1_1,
FRA001007001008002,La Clusaz,,Commune,Commune simple,FRA.1.7.1.8.2_1,
FRA001007001008003,Le Bouchet,,Commune,Commune simple,FRA.1.7.1.8.3_1,
FRA001007001008004,Le Grand-Bornand,,Commune,Commune simple,FRA.1.7.1.8.4_1,
FRA001007001008005,Les Clefs,,Commune,Commune simple,FRA.1.7.1.8.5_1,
FRA001007001008006,Les Villards-sur-Thônes,,Commune,Commune simple,FRA.1.7.1.8.6_1,
FRA001007001008007,Manigod,,Commune,Commune simple,FRA.1.7.1.8.7_1,
FRA001007001008008,Saint-Jean-de-Sixt,,Commune,Commune simple,FRA.1.7.1.8.8_1,
FRA001007001008009,Serraval,,Commune,Commune simple,FRA.1.7.1.8.9_1,
FRA001007001008010,Thônes,,Commune,Chef-lieu canton,FRA.1.7.1.8.10_1,
FRA001007001009001,Aviernoz,,Commune,Commune simple,FRA.1.7.1.9.1_1,
FRA001007001009002,Évires,,Commune,Commune simple,FRA.1.7.1.9.2_1,
FRA001007001009003,Groisy,,Commune,Commune simple,FRA.1.7.1.9.3_1,
FRA001007001009004,Les Ollières,,Commune,Commune simple,FRA.1.7.1.9.4_1,
FRA001007001009005,Thorens-Glières,,Commune,Chef-lieu canton,FRA.1.7.1.9.5_1,
FRA001007001009006,Villaz,,Commune,Commune simple,FRA.1.7.1.9.6_1,
FRA001007002001001,Ayse,,Commune,Commune simple,FRA.1.7.2.1.1_1,
FRA001007002001002,Bonneville,,Commune,Sous-préfecture,FRA.1.7.2.1.2_1,
FRA001007002001003,Brizon,,Commune,Commune simple,FRA.1.7.2.1.3_1,
FRA001007002001004,Contamine-sur-Arve,,Commune,Commune simple,FRA.1.7.2.1.4_1,
FRA001007002001005,Entremont,,Commune,Commune simple,FRA.1.7.2.1.5_1,
FRA001007002001006,Faucigny,,Commune,Commune simple,FRA.1.7.2.1.6_1,
FRA001007002001007,Le Petit-Bornand-les-Glières,,Commune,Commune simple,FRA.1.7.2.1.7_1,
FRA001007002001008,Marcellaz,,Commune,Commune simple,FRA.1.7.2.1.8_1,
FRA001007002001009,Marignier,,Commune,Commune simple,FRA.1.7.2.1.9_1,
FRA001007002001010,Mont-Saxonnex,,Commune,Commune simple,FRA.1.7.2.1.10_1,
FRA001007002001011,Peillonnex,,Commune,Commune simple,FRA.1.7.2.1.11_1,
FRA001007002001012,Thyez,,Commune,Commune simple,FRA.1.7.2.1.12_1,
FRA001007002001013,Vougy,,Commune,Commune simple,FRA.1.7.2.1.13_1,
FRA001007002002001,Chamonix-Mont-Blanc,,Commune,Chef-lieu canton,FRA.1.7.2.2.1_1,
FRA001007002002002,Les Houches,,Commune,Commune simple,FRA.1.7.2.2.2_1,
FRA001007002002003,Servoz,,Commune,Commune simple,FRA.1.7.2.2.3_1,
FRA001007002002004,Vallorcine,,Commune,Commune simple,FRA.1.7.2.2.4_1,
FRA001007002003001,Arâches-la-Frasse,,Commune,Commune simple,FRA.1.7.2.3.1_1,
FRA001007002003002,Châtillon-sur-Cluses,,Commune,Commune simple,FRA.1.7.2.3.2_1,
FRA001007002003003,Cluses,,Commune,Chef-lieu canton,FRA.1.7.2.3.3_1,
FRA001007002003004,Magland,,Commune,Commune simple,FRA.1.7.2.3.4_1,
FRA001007002003005,Saint-Sigismond,,Commune,Commune simple,FRA.1.7.2.3.5_1,
FRA001007002004001,Amancy,,Commune,Commune simple,FRA.1.7.2.4.1_1,
FRA001007002004002,Arenthon,,Commune,Commune simple,FRA.1.7.2.4.2_1,
FRA001007002004003,Cornier,,Commune,Commune simple,FRA.1.7.2.4.3_1,
FRA001007002004004,Etaux,,Commune,Commune simple,FRA.1.7.2.4.4_1,
FRA001007002004005,La Chapelle-Rambaud,,Commune,Commune simple,FRA.1.7.2.4.5_1,
FRA001007002004006,La Roche-sur-Foron,,Commune,Chef-lieu canton,FRA.1.7.2.4.6_1,
FRA001007002004007,Saint-Laurent,,Commune,Commune simple,FRA.1.7.2.4.7_1,
FRA001007002004008,Saint-Pierre-en-Faucigny,,Commune,Commune simple,FRA.1.7.2.4.8_1,
FRA001007002004009,Saint-Sixt,,Commune,Commune simple,FRA.1.7.2.4.9_1,
FRA001007002005001,Les Contamines-Montjoie,,Commune,Commune simple,FRA.1.7.2.5.1_1,
FRA001007002005002,Passy,,Commune,Commune simple,FRA.1.7.2.5.2_1,
FRA001007002005003,Saint-Gervais-les-Bains,,Commune,Chef-lieu canton,FRA.1.7.2.5.3_1,
FRA001007002006001,La Tour,,Commune,Commune simple,FRA.1.7.2.6.1_1,
FRA001007002006002,Mégevette,,Commune,Commune simple,FRA.1.7.2.6.2_1,
FRA001007002006003,Onnion,,Commune,Commune simple,FRA.1.7.2.6.3_1,
FRA001007002006004,Saint-Jean-de-Tholome,,Commune,Commune simple,FRA.1.7.2.6.4_1,
