admin0Name_fr,admin0Pcode,admin1Name_fr,admin1Pcode,admin2Name_fr,admin2Pcode,admin3Name_fr,admin3Pcode,admin3RefName,admin3AltName1_fr,admin3AltName2_fr,date,validOn,validTo
Central African Republic,CF,Mambéré-Kadéï,CF21,Carnot,CF213,Carnot,CF2131,Carnot,,,2014-08-02,2015-06-15,
Central African Republic,CF,Basse-Kotto,CF61,Satéma,CF616,Kotto-Oubangui,CF6161,Kotto-Oubangui,,,2014-08-02,2015-06-15,
Central African Republic,CF,Mbomou,CF62,Gambo,CF623,Gambo,CF6231,Gambo,,,2014-08-02,2015-06-15,
Central African Republic,CF,Basse-Kotto,CF61,Alindao,CF612,Yambélé-Ewou,CF6125,Yambeie-Ewou,,,2014-08-02,2015-06-15,
Central African Republic,CF,Basse-Kotto,CF61,Mingala,CF614,Séliba,CF6143,Seliba,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouaka,CF43,Bambari,CF431,Haute Baïdou,CF4315,Haute Baidou,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouaka,CF43,Bambari,CF431,Danga-Gboudou,CF4312,Danga-Gboudou,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouaka,CF43,Bambari,CF431,Ngougbia,CF4313,Ngougbia,,,2014-08-02,2015-06-15,
Central African Republic,CF,Haut-Mbomou,CF63,Obo,CF631,Obo,CF6311,Obo,,,2014-08-02,2015-06-15,
Central African Republic,CF,Haut-Mbomou,CF63,Obo,CF631,Mboki,CF6312,Mboki,,,2014-08-02,2015-06-15,
Central African Republic,CF,Haut-Mbomou,CF63,Djéma,CF634,Djéma,CF6341,Djema,,,2014-08-02,2015-06-15,
Central African Republic,CF,Mbomou,CF62,Rafai,CF624,Rafai,CF6241,Rafai,,,2014-08-02,2015-06-15,
Central African Republic,CF,Mbomou,CF62,Bangassou,CF621,Zangandou,CF6214,Zangandou,,,2014-08-02,2015-06-15,
Central African Republic,CF,Basse-Kotto,CF61,Mingala,CF614,Siriki,CF6141,Siriki,,,2014-08-02,2015-06-15,
Central African Republic,CF,Mbomou,CF62,Bakouma,CF625,Bakouma,CF6251,Bakouma,,,2014-08-02,2015-06-15,
Central African Republic,CF,Basse-Kotto,CF61,Kembé,CF613,Kembé,CF6131,Kembe,,,2014-08-02,2015-06-15,
Central African Republic,CF,Basse-Kotto,CF61,Alindao,CF612,Guiligui,CF6122,Guiligui,,,2014-08-02,2015-06-15,
Central African Republic,CF,Basse-Kotto,CF61,Alindao,CF612,Bakou,CF6124,Bakou,,,2014-08-02,2015-06-15,
Central African Republic,CF,Basse-Kotto,CF61,Kembé,CF613,Mboui,CF6132,Mboui,,,2014-08-02,2015-06-15,
Central African Republic,CF,Basse-Kotto,CF61,Zangba,CF615,Yabongo,CF6152,Yabongo,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouaka,CF43,Kouango,CF434,Cochio-Toulou,CF4343,Cochio-Toulou,,,2014-08-02,2015-06-15,
Central African Republic,CF,Basse-Kotto,CF61,Alindao,CF612,Bangui-Ketté,CF6123,Bangui-Kette,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouaka,CF43,Grimari,CF433,Kobadja,CF4332,Kobadja,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouaka,CF43,Grimari,CF433,Pouyamba,CF4334,Pouyamba,,,2014-08-02,2015-06-15,
Central African Republic,CF,Kémo,CF41,Mala,CF413,Mala,CF4131,Mala,,,2014-08-02,2015-06-15,
Central African Republic,CF,Kémo,CF41,Sibut,CF411,Ngoumbele,CF4112,Ngoumbele,,,2014-08-02,2015-06-15,
Central African Republic,CF,Kémo,CF41,Dékoa,CF412,Tilo,CF4122,Tilo,,,2014-08-02,2015-06-15,
Central African Republic,CF,Kémo,CF41,Dékoa,CF412,Dekoa,CF4121,Dekoa,,,2014-08-02,2015-06-15,
Central African Republic,CF,Nana-Gribizi,CF42,Kaga-Bandoro,CF421,Ndenga,CF4215,Ndenga,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouham,CF32,Bouca,CF325,Lady Gbawi,CF3252,Lady Gbawi,,,2014-08-02,2015-06-15,
Central African Republic,CF,Nana-Gribizi,CF42,Kaga-Bandoro,CF421,Nana-Outa,CF4213,Nana-Outa,,,2014-08-02,2015-06-15,
Central African Republic,CF,Nana-Gribizi,CF42,Kaga-Bandoro,CF421,Botto,CF4212,Botto,,,2014-08-02,2015-06-15,
Central African Republic,CF,Nana-Gribizi,CF42,Kaga-Bandoro,CF421,Grivaï-Pamia,CF4214,Grivai-Pamia,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouham,CF32,Kabo,CF327,Ouaki,CF3272,Ouaki,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouham,CF32,Batangafo,CF326,Bakassa,CF3265,Bakassa,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouham,CF32,Kabo,CF327,Sido,CF3271,Sido,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouham,CF32,Batangafo,CF326,Ouassi,CF3264,Ouassi,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouham,CF32,Nana-Bakassa,CF322,Nana-Bakassa,CF3221,Nana-Bakassa,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouham,CF32,Bossangoa,CF321,Ouham Bac,CF3215,Ouham Bac,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouham,CF32,Nangha Boguila,CF324,Nangha Boguila,CF3241,Nangha Boguila,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouham Pendé,CF31,Paoua,CF314,Bimbi,CF3147,Bimbi,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouham Pendé,CF31,Bocaranga,CF312,Péndé,CF3123,Pende,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouham Pendé,CF31,Paoua,CF314,Malé,CF3146,Male,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouham,CF32,Bossangoa,CF321,Koro-M'poko,CF3213,Koro-Mpoko,,,2014-08-02,2015-06-15,
Central African Republic,CF,Nana-Mambéré,CF22,Bouar,CF221,Doaka-Koursou,CF2217,Doaka-Koursou,,,2014-08-02,2015-06-15,
Central African Republic,CF,Nana-Mambéré,CF22,Bouar,CF221,Zotoua-Bangarem,CF2214,Zotoua-Bangarem,,,2014-08-02,2015-06-15,
