admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Burqua Dhintu,ET040998,,,,West Hararge,ET0409,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Bursa,ET070416,,,,Sidama,ET0704,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Butajira Town,ET070115,,,,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Chabe Gambeltu,ET070431,,,,Sidama,ET0704,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Chagni Town,ET030999,,,,Awi,ET0309,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Charati,ET050802,,,,Afder,ET0508,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Cheha,ET070110,,,,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Chelelektu Town,ET070508,,,,Gedeo,ET0705,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Cheliya,ET040505,,,,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Chena,ET070909,,,,Kefa,ET0709,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Chencha,ET071010,,,,Gamo,ET0710,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Chencha Zuriya,ET071006,,,,Gamo,ET0710,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Cheta,ET070907,,,,Kefa,ET0709,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Chifra,ET020106,,,,Zone 1 (Awsi Rasu),ET0201,Afar,ET02,Ethiopia,ET,2019-08-19,2019-10-28,
Chilga 1,ET031106,,,,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Chilga 2,ET031112,,,,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Chinaksen,ET041015,,,,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Chire,ET070415,,,,Sidama,ET0704,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Chiro Town,ET040905,,,,West Hararge,ET0409,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Chiro Zuria,ET040913,,,,West Hararge,ET0409,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Chirone,ET070429,,,,Sidama,ET0704,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Chole,ET040809,,,,Arsi,ET0408,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
