admin2Name_fr,admin2Pcode,admin2RefName,admin2AltName1_fr,admin2AltName2_fr,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,ValidTo
Gihogazi,BDI007003,Gihogazi,Gihogazi (Karuzi),,Karuzi,BDI007,Burundi,BDI,2005-09-30,2017-11-03,
Ruhororo,BDI014008,Ruhororo,Ruhororo (Ngozi),,Ngozi,BDI014,Burundi,BDI,2005-09-30,2017-11-03,
Tangara,BDI014009,Tangara,Tangara (Ngozi),,Ngozi,BDI014,Burundi,BDI,2005-09-30,2017-11-03,
Vumbi,BDI009007,Vumbi,Vumbi (Kirundo),,Kirundo,BDI009,Burundi,BDI,2005-09-30,2017-11-03,
Kiremba,BDI014003,Kiremba,Kiremba (Ngozi),,Ngozi,BDI014,Burundi,BDI,2005-09-30,2017-11-03,
Kirundo,BDI009005,Kirundo,Kirundo (Kirundo),,Kirundo,BDI009,Burundi,BDI,2005-09-30,2017-11-03,
Cankuzo,BDI004001,Cankuzo,Cankuzo (Cankuzo),,Cankuzo,BDI004,Burundi,BDI,2005-09-30,2017-11-03,
Mutumba,BDI007005,Mutumba,Mutumba (Karuzi),,Karuzi,BDI007,Burundi,BDI,2005-09-30,2017-11-03,
Buhiga,BDI007002,Buhiga,Buhiga (Karuzi),,Karuzi,BDI007,Burundi,BDI,2005-09-30,2017-11-03,
Mwakiro,BDI012007,Mwakiro,Mwakiro (Muyinga),,Muyinga,BDI012,Burundi,BDI,2005-09-30,2017-11-03,
Gasorwe,BDI012004,Gasorwe,Gasorwe (Muyinga),,Muyinga,BDI012,Burundi,BDI,2005-09-30,2017-11-03,
Gashoho,BDI012003,Gashoho,Gashoho (Muyinga),,Muyinga,BDI012,Burundi,BDI,2005-09-30,2017-11-03,
Gitobe,BDI009004,Gitobe,Gitobe (Kirundo),,Kirundo,BDI009,Burundi,BDI,2005-09-30,2017-11-03,
Bwambarangwe,BDI009003,Bwambarangwe,Bwambarangwe (Kirundo),,Kirundo,BDI009,Burundi,BDI,2005-09-30,2017-11-03,
Ntega,BDI009006,Ntega,Ntega (Kirundo),,Kirundo,BDI009,Burundi,BDI,2005-09-30,2017-11-03,
Marangara,BDI014004,Marangara,Marangara (Ngozi),,Ngozi,BDI014,Burundi,BDI,2005-09-30,2017-11-03,
Nyamurenza,BDI014007,Nyamurenza,Nyamurenza (Ngozi),,Ngozi,BDI014,Burundi,BDI,2005-09-30,2017-11-03,
Mwumba,BDI014005,Mwumba,Mwumba (Ngozi),,Ngozi,BDI014,Burundi,BDI,2005-09-30,2017-11-03,
Busiga,BDI014001,Busiga,Busiga (Ngozi),,Ngozi,BDI014,Burundi,BDI,2005-09-30,2017-11-03,
Kabarore,BDI008004,Kabarore,Kabarore (Kayanza),,Kayanza,BDI008,Burundi,BDI,2005-09-30,2017-11-03,
Bukinanyana,BDI005002,Bukinanyana,Bukinanyana (Cibitoke),,Cibitoke,BDI005,Burundi,BDI,2005-09-30,2017-11-03,
Mabayi,BDI005003,Mabayi,Mabayi (Cibitoke),,Cibitoke,BDI005,Burundi,BDI,2005-09-30,2017-11-03,
Mugina,BDI005004,Mugina,Mugina (Cibitoke),,Cibitoke,BDI005,Burundi,BDI,2005-09-30,2017-11-03,
Rugombo,BDI005006,Rugombo,Rugombo (Cibitoke),,Cibitoke,BDI005,Burundi,BDI,2005-09-30,2017-11-03,
Buganda,BDI005001,Buganda,Buganda (Cibitoke),,Cibitoke,BDI005,Burundi,BDI,2005-09-30,2017-11-03,
Gihanga,BDI001002,Gihanga,Gihanga (Bubanza),,Bubanza,BDI001,Burundi,BDI,2005-09-30,2017-11-03,
Mutimbuzi,BDI002010,Mutimbuzi,Mutimbuzi (Bujumbura Rural),,Bujumbura Rural,BDI002,Burundi,BDI,2005-09-30,2017-11-03,
Nyanza-Lac,BDI010005,Nyanza-Lac,Nyanza-Lac (Makamba),,Makamba,BDI010,Burundi,BDI,2005-09-30,2017-11-03,
Mabanda,BDI010003,Mabanda,Mabanda (Makamba),,Makamba,BDI010,Burundi,BDI,2005-09-30,2017-11-03,
Giharo,BDI015002,Giharo,Giharo (Rutana),,Rutana,BDI015,Burundi,BDI,2005-09-30,2017-11-03,
Kinyinya,BDI016005,Kinyinya,Kinyinya (Ruyigi),,Ruyigi,BDI016,Burundi,BDI,2005-09-30,2017-11-03,
Gisuru,BDI016004,Gisuru,Gisuru (Ruyigi),,Ruyigi,BDI016,Burundi,BDI,2005-09-30,2017-11-03,
Cendajuru,BDI004002,Cendajuru,Cendajuru (Cankuzo),,Cankuzo,BDI004,Burundi,BDI,2005-09-30,2017-11-03,
Gisagara,BDI004003,Gisagara,Gisagara (Cankuzo),,Cankuzo,BDI004,Burundi,BDI,2005-09-30,2017-11-03,
Mishiha,BDI004005,Mishiha,Mishiha (Cankuzo),,Cankuzo,BDI004,Burundi,BDI,2005-09-30,2017-11-03,
Kigamba,BDI004004,Kigamba,Kigamba (Cankuzo),,Cankuzo,BDI004,Burundi,BDI,2005-09-30,2017-11-03,
Buhinyuza,BDI012001,Buhinyuza,Buhinyuza (Muyinga),,Muyinga,BDI012,Burundi,BDI,2005-09-30,2017-11-03,
Muyinga,BDI012006,Muyinga,Muyinga (Muyinga),,Muyinga,BDI012,Burundi,BDI,2005-09-30,2017-11-03,
Butihinda,BDI012002,Butihinda,Butihinda (Muyinga),,Muyinga,BDI012,Burundi,BDI,2005-09-30,2017-11-03,
Giteranyi,BDI012005,Giteranyi,Giteranyi (Muyinga),,Muyinga,BDI012,Burundi,BDI,2005-09-30,2017-11-03,
Busoni,BDI009002,Busoni,Busoni (Kirundo),,Kirundo,BDI009,Burundi,BDI,2005-09-30,2017-11-03,
Bugabira,BDI009001,Bugabira,Bugabira (Kirundo),,Kirundo,BDI009,Burundi,BDI,2005-09-30,2017-11-03,
Kayogoro,BDI010001,Kayogoro,Kayogoro (Makamba),,Makamba,BDI010,Burundi,BDI,2005-09-30,2017-11-03,
Bukemba,BDI015001,Bukemba,Bukemba (Rutana),,Rutana,BDI015,Burundi,BDI,2005-09-30,2017-11-03,
Matongo,BDI008006,Matongo,Matongo (Kayanza),,Kayanza,BDI008,Burundi,BDI,2005-09-30,2017-11-03,
Muruta,BDI008008,Muruta,Muruta (Kayanza),,Kayanza,BDI008,Burundi,BDI,2005-09-30,2017-11-03,
Musigati,BDI001004,Musigati,Musigati (Bubanza),,Bubanza,BDI001,Burundi,BDI,2005-09-30,2017-11-03,
Muha,BDI017014,Muha,Muha (Bujumbura Mairie),,Bujumbura Mairie,BDI017,Burundi,BDI,2015-09-13,2017-11-03,
Mukaza,BDI017015,Mukaza,Mukaza (Bujumbura Mairie),,Bujumbura Mairie,BDI017,Burundi,BDI,2015-09-13,2017-11-03,
Ntahangwa,BDI017016,Ntahangwa,Ntahangwa (Bujumbura Mairie),,Bujumbura Mairie,BDI017,Burundi,BDI,2015-09-13,2017-11-03,
Kibago,BDI010002,Kibago,Kibago (Makamba),,Makamba,BDI010,Burundi,BDI,2005-09-30,2017-11-03,
